index,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,HolidayName,IsHoliday,Accumulated Hours of Rain
48,649.5,38.0,20.0,200.0,34.9,48.0,75,0.0,1017.0,98.0,16.3,0.6,1.0,Ngày thường,False,0
49,563.0,30.0,38.3,166.0,29.04,40.3,83,0.0,1017.0,96.0,16.6,0.7,1.66,Ngày thường,False,0
50,476.4,22.0,56.7,132.0,23.18,32.7,91,0.0,1018.0,95.0,16.9,1.0,2.33,Ngày thường,False,0
51,389.8,14.0,75.0,98.0,17.32,25.0,100,0.0,1018.0,93.0,17.2,1.5,3.0,Ngày thường,False,0
52,345.1,11.0,83.0,82.0,14.52,20.0,79,0.0,1017.0,87.0,18.0,1.9,2.66,Ngày thường,False,0
53,300.4,8.0,91.0,66.0,11.71,15.0,58,0.0,1016.0,81.0,18.8,2.1,2.33,Ngày thường,False,0
54,255.6,5.0,99.0,50.0,8.91,10.0,37,0.0,1015.0,76.0,19.6,1.9,2.0,Ngày thường,False,0
55,256.6,6.7,91.7,58.0,10.31,13.3,58,0.0,1015.0,75.0,20.3,1.6,2.0,Ngày thường,False,0
56,257.6,8.3,84.3,66.0,11.71,16.7,79,0.0,1014.0,73.0,20.9,1.1,2.0,Ngày thường,False,0
57,258.5,10.0,77.0,74.0,13.12,20.0,100,0.0,1014.0,72.0,21.6,0.8,2.0,Ngày thường,False,0
58,280.3,13.3,67.7,90.0,15.92,25.3,100,0.0,1015.0,76.0,21.0,0.7,2.0,Ngày thường,False,0
59,302.1,16.7,58.3,106.0,18.73,30.7,100,0.0,1015.0,79.0,20.4,0.0,2.0,Ngày thường,False,0
60,323.9,20.0,49.0,122.0,21.53,36.0,100,0.0,1016.0,83.0,19.8,0.0,2.0,Ngày thường,False,0
61,342.2,22.3,46.0,130.3,22.94,42.7,100,0.0,1016.0,85.0,19.5,0.0,2.0,Ngày thường,False,0
62,360.5,24.7,43.0,138.7,24.34,49.3,100,0.0,1016.0,87.0,19.3,0.0,2.0,Ngày thường,False,0
63,378.8,27.0,40.0,147.0,25.74,56.0,100,0.0,1017.0,88.0,19.0,0.0,2.0,Ngày thường,False,0
64,396.1,29.0,38.7,151.3,26.48,62.0,100,0.0,1017.0,88.0,18.9,0.0,1.66,Ngày thường,False,0
